timestamp;Volumetic_water_content;Soil_temperature;Electrical_conductivity
 2023-06-10 09:44:08; 0.351; 9.100; 123.000
 2023-06-10 09:54:11; 0.351; 9.100; 123.000
 2023-06-10 10:04:05; 0.351; 9.100; 123.000
 2023-06-10 10:14:12; 0.351; 9.100; 123.000
 2023-06-10 10:24:06; 0.351; 9.100; 123.000
 2023-06-10 10:34:10; 0.350; 9.100; 123.000
 2023-06-10 10:44:06; 0.350; 9.100; 123.000
 2023-06-10 10:54:09; 0.350; 9.100; 123.000
 2023-06-10 11:04:05; 0.350; 9.100; 123.000
 2023-06-10 11:14:08; 0.350; 9.100; 123.000
 2023-06-10 11:24:06; 0.350; 9.100; 123.000
 2023-06-10 11:34:06; 0.350; 9.100; 123.000
 2023-06-10 11:44:10; 0.351; 9.100; 123.000
 2023-06-10 11:54:07; 0.351; 9.100; 124.000
 2023-06-10 12:04:08; 0.350; 9.200; 123.000
 2023-06-10 12:14:07; 0.350; 9.200; 123.000
 2023-06-10 12:24:05; 0.350; 9.200; 123.000
 2023-06-10 12:34:05; 0.350; 9.200; 123.000
 2023-06-10 12:44:10; 0.350; 9.200; 123.000
 2023-06-10 12:54:05; 0.351; 9.200; 123.000
 2023-06-10 13:04:05; 0.350; 9.200; 123.000
 2023-06-10 13:14:05; 0.351; 9.300; 123.000
 2023-06-10 13:24:11; 0.350; 9.300; 123.000
 2023-06-10 13:34:09; 0.351; 9.300; 123.000
 2023-06-10 13:44:04; 0.351; 9.300; 123.000
 2023-06-10 13:54:07; 0.350; 9.300; 123.000
 2023-06-10 14:04:04; 0.350; 9.300; 123.000
 2023-06-10 14:14:10; 0.350; 9.400; 123.000
 2023-06-10 14:24:11; 0.351; 9.400; 123.000
 2023-06-10 14:34:09; 0.350; 9.400; 123.000
 2023-06-10 14:44:05; 0.350; 9.400; 123.000
 2023-06-10 14:54:08; 0.350; 9.400; 123.000
 2023-06-10 15:04:08; 0.350; 9.500; 123.000
 2023-06-10 15:14:10; 0.350; 9.500; 123.000
 2023-06-10 15:24:11; 0.350; 9.500; 123.000
 2023-06-10 15:34:04; 0.350; 9.600; 123.000
 2023-06-10 15:44:09; 0.350; 9.600; 123.000
 2023-06-10 15:54:06; 0.350; 9.600; 123.000
 2023-06-10 16:04:06; 0.350; 9.600; 122.000
 2023-06-10 16:14:11; 0.350; 9.700; 123.000
 2023-06-10 16:34:04; 0.350; 9.700; 122.000
 2023-06-10 16:44:04; 0.349; 9.700; 123.000
 2023-06-10 16:54:10; 0.350; 9.800; 122.000
 2023-06-10 17:04:11; 0.350; 9.800; 122.000
 2023-06-10 17:14:08; 0.350; 9.800; 123.000
 2023-06-10 17:24:06; 0.349; 9.800; 122.000
 2023-06-10 17:34:04; 0.349; 9.900; 122.000
 2023-06-10 17:44:10; 0.349; 9.900; 123.000
 2023-06-10 17:54:06; 0.350; 9.900; 122.000
 2023-06-10 18:04:08; 0.349; 9.900; 122.000
 2023-06-10 18:14:07; 0.350; 10.000; 122.000
 2023-06-10 18:24:04; 0.349; 10.000; 123.000
 2023-06-10 18:34:04; 0.349; 10.000; 122.000
 2023-06-10 18:44:10; 0.349; 10.000; 123.000
 2023-06-10 18:54:11; 0.349; 10.100; 123.000
 2023-06-10 19:04:09; 0.349; 10.100; 123.000
 2023-06-10 19:14:05; 0.349; 10.100; 122.000
 2023-06-10 19:24:08; 0.349; 10.100; 122.000
 2023-06-10 19:34:11; 0.349; 10.200; 123.000
 2023-06-10 19:44:04; 0.349; 10.200; 122.000
 2023-06-10 19:54:06; 0.349; 10.200; 123.000
 2023-06-10 20:04:04; 0.349; 10.200; 122.000
 2023-06-10 20:14:10; 0.349; 10.200; 122.000
 2023-06-10 20:24:07; 0.349; 10.300; 123.000
 2023-06-10 20:34:06; 0.349; 10.300; 123.000
 2023-06-10 20:44:11; 0.349; 10.300; 122.000
 2023-06-10 20:54:05; 0.349; 10.300; 123.000
 2023-06-10 21:04:08; 0.349; 10.300; 123.000
 2023-06-10 21:14:03; 0.349; 10.300; 122.000
 2023-06-10 21:24:09; 0.349; 10.400; 122.000
 2023-06-10 21:34:09; 0.349; 10.400; 123.000
 2023-06-10 21:44:05; 0.349; 10.400; 122.000
 2023-06-10 21:54:09; 0.349; 10.400; 123.000
 2023-06-10 22:04:06; 0.349; 10.400; 122.000
 2023-06-10 22:14:06; 0.349; 10.400; 122.000
 2023-06-10 22:24:07; 0.348; 10.400; 122.000
 2023-06-10 22:34:10; 0.348; 10.400; 122.000
 2023-06-10 22:44:11; 0.349; 10.500; 122.000
 2023-06-10 22:54:09; 0.348; 10.500; 122.000
 2023-06-10 23:04:09; 0.348; 10.500; 122.000
 2023-06-10 23:14:08; 0.348; 10.500; 122.000
 2023-06-10 23:24:07; 0.349; 10.500; 123.000
 2023-06-10 23:34:09; 0.349; 10.500; 122.000
 2023-06-10 23:44:05; 0.348; 10.500; 122.000
 2023-06-10 23:54:06; 0.348; 10.500; 123.000
 2023-06-11 00:04:07; 0.348; 10.500; 122.000
 2023-06-11 00:14:05; 0.348; 10.500; 123.000
 2023-06-11 00:24:05; 0.348; 10.500; 122.000
 2023-06-11 00:34:04; 0.349; 10.500; 122.000
 2023-06-11 00:44:03; 0.349; 10.500; 122.000
 2023-06-11 00:54:05; 0.348; 10.500; 122.000
 2023-06-11 01:04:09; 0.348; 10.500; 122.000
 2023-06-11 01:14:09; 0.349; 10.500; 122.000
 2023-06-11 01:24:10; 0.348; 10.500; 122.000
 2023-06-11 01:34:10; 0.349; 10.500; 122.000
 2023-06-11 01:44:03; 0.349; 10.500; 122.000
 2023-06-11 01:54:10; 0.348; 10.500; 122.000
 2023-06-11 02:04:07; 0.349; 10.500; 122.000
 2023-06-11 02:14:05; 0.348; 10.500; 122.000
 2023-06-11 02:24:05; 0.348; 10.500; 122.000
 2023-06-11 02:34:08; 0.348; 10.500; 122.000
 2023-06-11 02:44:04; 0.348; 10.500; 122.000
 2023-06-11 02:54:04; 0.349; 10.500; 122.000
 2023-06-11 03:04:06; 0.348; 10.400; 122.000
 2023-06-11 03:14:04; 0.348; 10.400; 122.000
 2023-06-11 03:24:03; 0.348; 10.400; 122.000
 2023-06-11 03:34:06; 0.348; 10.400; 122.000
 2023-06-11 03:44:07; 0.348; 10.400; 122.000
 2023-06-11 03:54:05; 0.349; 10.400; 122.000
 2023-06-11 04:04:10; 0.348; 10.400; 122.000
 2023-06-11 04:14:10; 0.349; 10.400; 122.000
 2023-06-11 04:24:05; 0.349; 10.400; 122.000
 2023-06-11 04:34:04; 0.349; 10.300; 122.000
 2023-06-11 04:44:08; 0.348; 10.300; 123.000
 2023-06-11 04:54:07; 0.349; 10.300; 122.000
 2023-06-11 05:04:06; 0.348; 10.300; 123.000
 2023-06-11 05:14:08; 0.348; 10.300; 122.000
 2023-06-11 05:24:08; 0.348; 10.300; 122.000
 2023-06-11 05:34:07; 0.348; 10.300; 122.000
 2023-06-11 05:44:05; 0.348; 10.300; 122.000
 2023-06-11 05:54:06; 0.348; 10.300; 122.000
 2023-06-11 06:04:03; 0.348; 10.300; 122.000
 2023-06-11 06:14:09; 0.349; 10.200; 122.000
 2023-06-11 06:24:09; 0.348; 10.200; 122.000
 2023-06-11 06:34:10; 0.348; 10.200; 122.000
 2023-06-11 06:44:08; 0.349; 10.200; 122.000
 2023-06-11 06:54:07; 0.348; 10.200; 122.000
 2023-06-11 07:04:09; 0.349; 10.200; 122.000
 2023-06-11 07:14:05; 0.349; 10.200; 122.000
 2023-06-11 07:24:06; 0.348; 10.200; 122.000
 2023-06-11 07:34:04; 0.348; 10.200; 122.000
 2023-06-11 07:44:06; 0.348; 10.100; 122.000
 2023-06-11 07:54:05; 0.348; 10.100; 122.000
